geo_level,geo_name,year,state_name,pct_black_alone,pct_with_health_insurance,pct_with_health_insurance_white_alone,pct_with_health_insurance_black_alone,pct_with_health_insurance_asian_alone,pct_with_health_insurance_hispanic,quartiles_pct_with_health_insurance
zcta,77662,2022,,0.6,80,79.7,97.9,100,65.5,Bottom 25% of geographies
zcta,77434,2022,,19.8,80,84.8,85.9,,72.2,Bottom 25% of geographies
zcta,30012,2022,,50.2,80,77.2,84.4,100,62.7,Bottom 25% of geographies
zcta,31639,2022,,12.7,80,83.1,61.4,82,65.6,Bottom 25% of geographies
zcta,74701,2022,,2.5,80,82.2,93.9,92.1,67.5,Bottom 25% of geographies
county,"San Jacinto County, Texas",2022,Texas,9.3,80,83.4,79.7,100,59.2,Bottom 25% of geographies
zcta,79761,2022,,8,80,85.1,79.5,77.4,76.7,Bottom 25% of geographies
zcta,27985,2022,,58.2,80,68.7,79.4,,0,Bottom 25% of geographies
zcta,76501,2022,,16.8,80,80,89.3,100,66.6,Bottom 25% of geographies
zcta,75801,2022,,30.9,80,83.7,75.2,84.6,71.9,Bottom 25% of geographies
zcta,38106,2022,,96.2,80,93,79.8,,70.7,Bottom 25% of geographies
zcta,76470,2022,,3.6,80,80.3,74.1,100,80.1,Bottom 25% of geographies
county,"Crosby County, Texas",2022,Texas,3,80,79.8,88.8,100,76.7,Bottom 25% of geographies
zcta,30607,2022,,27.4,80,82.7,86.7,76.5,52,Bottom 25% of geographies
zcta,89107,2022,,10.5,80,83.8,80.5,88.2,74,Bottom 25% of geographies
zcta,30436,2022,,17.6,80,80,80.3,76.5,66.1,Bottom 25% of geographies
zcta,32808,2022,,70.7,80,77.2,81.2,81.3,72.1,Bottom 25% of geographies
zcta,77082,2022,,39.6,80,82.2,73.4,92.7,80.6,Bottom 25% of geographies
zcta,36804,2022,,28.4,84,85.8,84.3,74.8,67.9,Bottom 25% of geographies
zcta,84066,2022,,0.3,84,87.6,53.7,23.1,70.2,Bottom 25% of geographies
zcta,30662,2022,,10.2,84,87.8,81.3,90.9,27.3,Bottom 25% of geographies
zcta,30620,2022,,13.6,84,82,93.1,78.4,64.4,Bottom 25% of geographies
county,"Cedar County, Missouri",2022,Missouri,0.3,84,83.9,41.7,,89.8,Bottom 25% of geographies
zcta,44311,2022,,34.5,84,80.9,86.7,92.5,71.3,Bottom 25% of geographies
zcta,77505,2022,,1.9,84,84.5,89.9,87.9,74.9,Bottom 25% of geographies
zcta,23966,2022,,28.6,84,89.3,84.3,,0,Bottom 25% of geographies
county,"Moniteau County, Missouri",2022,Missouri,2.7,84,84,52.7,49,90.4,Bottom 25% of geographies
zcta,73651,2022,,6.4,84,82.6,91,100,61.9,Bottom 25% of geographies
zcta,27101,2022,,47.7,84,90.4,78.9,87.2,78.5,Bottom 25% of geographies
zcta,48340,2022,,34.9,84,80,89,83.8,75.6,Bottom 25% of geographies
zcta,31089,2022,,60.4,84,86.2,81.7,100,,Bottom 25% of geographies
zcta,78652,2022,,5.9,84,81.6,90.5,100,64.3,Bottom 25% of geographies
zcta,33325,2022,,7.6,84,89.1,93.2,83.8,79.1,Bottom 25% of geographies
zcta,30474,2022,,27.6,84,82.8,88.4,76.9,71.9,Bottom 25% of geographies
zcta,33013,2022,,1.1,84,83.6,49.8,100,83.8,Bottom 25% of geographies
zcta,39507,2022,,24.5,84,88.9,73,85.8,64.9,Bottom 25% of geographies
zcta,78410,2022,,1.1,84,86.6,86.7,100,81.5,Bottom 25% of geographies
zcta,39209,2022,,91,84,86.2,83.8,100,69.5,Bottom 25% of geographies
zcta,33604,2022,,24.9,84,84.4,87.7,87.8,79.2,Bottom 25% of geographies
zcta,32622,2022,,10.2,84,89.2,37.4,22.2,90,Bottom 25% of geographies
county,"Fannin County, Georgia",2022,Georgia,0.3,84,84.9,44.1,66.1,69.5,Bottom 25% of geographies
county,"Okfuskee County, Oklahoma",2022,Oklahoma,6.5,84,86.1,87,25.7,81.1,Bottom 25% of geographies
zcta,75844,2022,,19.6,84,85.4,79.9,,57.6,Bottom 25% of geographies
zcta,38754,2022,,74.6,84,82,84.8,,,Bottom 25% of geographies
county,"Mayes County, Oklahoma",2022,Oklahoma,0.4,84,88.3,77,83.8,81.2,Bottom 25% of geographies
zcta,38664,2022,,83,84,86.1,84.3,,66,Bottom 25% of geographies
zcta,22971,2022,,7,84,94.9,30.2,,53.3,Bottom 25% of geographies
zcta,75069,2022,,10.8,84,85.3,87.8,95.4,66,Bottom 25% of geographies
zcta,84128,2022,,1,84,93.5,91,94.3,73.4,Bottom 25% of geographies
zcta,07205,2022,,48.4,84,87.9,90.6,97,72.4,Bottom 25% of geographies
zcta,28215,2022,,52.3,84,88.2,88.5,69.2,66.9,Bottom 25% of geographies
zcta,75571,2022,,26.9,84,81,96.3,,62.9,Bottom 25% of geographies
zcta,32330,2022,,22.5,84,93.9,76.5,,83.2,Bottom 25% of geographies
county,"Bexar County, Texas",2022,Texas,7.6,84,85.7,86.6,87.9,80.4,Bottom 25% of geographies
zcta,78028,2022,,1.6,84,87.4,77.1,97.4,72.1,Bottom 25% of geographies
county,"Dixie County, Florida",2022,Florida,8.2,84,83.9,92.9,91.7,78.7,Bottom 25% of geographies
county,"Winchester city, Virginia",2022,Virginia,9.9,88,89.9,92.1,96.2,66.8,Bottom 25% of geographies
zcta,29936,2022,,49.8,88,92.1,89.2,100,63.9,Bottom 25% of geographies
zcta,17522,2022,,1.2,88,88.1,90,98.3,80.5,Bottom 25% of geographies
zcta,22003,2022,,8.3,88,95.3,91.1,90.7,69.5,Bottom 25% of geographies
zcta,33837,2022,,15.3,88,91.4,82.7,94.5,85.2,Bottom 25% of geographies
zcta,93304,2022,,9.3,88,88.1,92.3,89.1,85.9,Bottom 25% of geographies
zcta,36874,2022,,20.9,88,87.5,89,100,100,Bottom 25% of geographies
county,"Scott County, Tennessee",2022,Tennessee,0.3,88,88,72.7,98.8,98,Bottom 25% of geographies
zcta,64673,2022,,0.4,88,88.1,50,,94.4,Bottom 25% of geographies
zcta,89032,2022,,29.7,88,85.5,93.9,93.3,82.2,Bottom 25% of geographies
zcta,28546,2022,,21.6,88,88.8,83.1,96.9,92.3,Bottom 25% of geographies
zcta,72086,2022,,10.2,88,88.3,85,100,43.4,Bottom 25% of geographies
zcta,75668,2022,,31.8,88,88.9,88.3,,69.1,Bottom 25% of geographies
zcta,30224,2022,,26.5,88,88.3,87.5,100,83.3,Bottom 25% of geographies
zcta,36105,2022,,85.9,88,93,88.5,100,0,Bottom 25% of geographies
county,"Canyon County, Idaho",2022,Idaho,0.6,88,89.2,92.4,92.3,82.4,Bottom 25% of geographies
zcta,72576,2022,,0.6,88,88.7,42.1,100,38.5,Bottom 25% of geographies
zcta,07657,2022,,1.1,88,89.1,99.2,85,92.6,Bottom 25% of geographies
zcta,28570,2022,,2.7,88,89.2,88.5,89.2,66,Bottom 25% of geographies
zcta,30143,2022,,0.3,88,88.4,93.9,37.2,70.5,Bottom 25% of geographies
zcta,35228,2022,,87.3,88,74.2,89.5,,57.7,Bottom 25% of geographies
county,"Richmond County, Georgia",2022,Georgia,55.9,88,87.4,88.5,92.7,82.8,Bottom 25% of geographies
county,"Kendall County, Texas",2022,Texas,0.8,88,91.5,86.5,62.6,80.6,Bottom 25% of geographies
zcta,34951,2022,,11.3,88,89.2,91.1,52.8,78.5,Bottom 25% of geographies
zcta,07304,2022,,33.5,88,87.9,90.1,89.5,86.8,Bottom 25% of geographies
zcta,38237,2022,,12.6,88,88.2,90.2,84.1,76,Bottom 25% of geographies
zcta,32431,2022,,10.6,88,87.3,92.2,,80.3,Bottom 25% of geographies
zcta,33426,2022,,20.9,88,92.4,72.7,94.9,91.5,Bottom 25% of geographies
zcta,98204,2022,,9.7,88,87.8,92.9,94.1,76,Bottom 25% of geographies
zcta,22193,2022,,23.8,88,89.7,93,88.8,77.5,Bottom 25% of geographies
zcta,36353,2022,,16.8,88,90.7,95.5,,57.4,Bottom 25% of geographies
zcta,70805,2022,,94.1,88,73.4,89.3,100,56.5,Bottom 25% of geographies
zcta,65785,2022,,0.7,88,88.2,40,,86.2,Bottom 25% of geographies
county,"Nobles County, Minnesota",2022,Minnesota,5.5,88,91.6,93.8,92.2,73.6,Bottom 25% of geographies
zcta,65441,2022,,0.4,88,87.3,94.7,100,84.6,Bottom 25% of geographies
zcta,36786,2022,,93.2,88,100,87.1,,,Bottom 25% of geographies
zcta,82930,2022,,0.7,88,89.7,75,100,72.5,Bottom 25% of geographies
zcta,76574,2022,,6.8,88,88.9,84.5,62.8,85.5,Bottom 25% of geographies
zcta,82221,2022,,0.4,88,88,50,100,,Bottom 25% of geographies
zcta,60107,2022,,5.4,88,92,83.9,89.2,81.7,Bottom 25% of geographies
county,"Pontotoc County, Mississippi",2022,Mississippi,14.8,88,90,92.5,,55.1,Bottom 25% of geographies
zcta,28119,2022,,63,88,83.9,89.9,,85.4,Bottom 25% of geographies
zcta,42539,2022,,1.4,88,88.5,83.6,3.2,42.3,Bottom 25% of geographies
zcta,76102,2022,,20.2,88,87.8,88,90.4,84.8,Bottom 25% of geographies
zcta,46613,2022,,20.8,88,90.5,87.5,69.1,88.5,Bottom 25% of geographies
zcta,32569,2022,,11.6,88,86.2,99.2,95.3,81.6,Bottom 25% of geographies
zcta,28366,2022,,14.9,88,86.6,97.7,100,60.3,Bottom 25% of geographies
county,"Telfair County, Georgia",2022,Georgia,35.1,88,90.9,80,100,94.8,Bottom 25% of geographies
zcta,82301,2022,,2.4,88,89.4,84.3,100,74.1,Bottom 25% of geographies
zcta,38965,2022,,31.6,88,93.2,78.2,,39.4,Bottom 25% of geographies
zcta,77002,2022,,33.3,88,90.1,80.6,98,80.1,Bottom 25% of geographies
zcta,75442,2022,,5.4,88,90.4,65.8,100,80.9,Bottom 25% of geographies
zcta,31019,2022,,18.7,88,85.5,92.9,,,Bottom 25% of geographies
zcta,34288,2022,,8.4,88,89.6,90.8,100,45.1,Bottom 25% of geographies
zcta,11232,2022,,7.2,88,93.5,97.4,95.3,81.9,Bottom 25% of geographies
zcta,27549,2022,,25.8,88,90.6,89.1,67.7,64.4,Bottom 25% of geographies
zcta,78643,2022,,0.8,88,88.7,68.2,100,60.6,Bottom 25% of geographies
zcta,79501,2022,,3.4,88,91.1,73.8,100,81.7,Bottom 25% of geographies
zcta,81504,2022,,1.1,88,89.4,96.6,47,79.4,Bottom 25% of geographies
zcta,23442,2022,,36.1,88,90.2,83.6,100,100,Bottom 25% of geographies
zcta,90040,2022,,0.5,88,94,69.2,100,88.1,Bottom 25% of geographies
county,"Muscogee County, Georgia",2022,Georgia,46.6,88,89.5,87.6,92.8,79.6,Bottom 25% of geographies
zcta,77706,2022,,23.8,88,89.8,81.7,82.7,85.3,Bottom 25% of geographies
county,"White County, Georgia",2022,Georgia,2.1,88,88,86,86.4,83.5,Bottom 25% of geographies
county,"Douglas County, Washington",2022,Washington,0.5,88,93.9,96.3,100,74.3,Bottom 25% of geographies
county,"Wilson County, North Carolina",2022,North Carolina,39.6,88,93.1,87.1,86.8,68.1,Bottom 25% of geographies
zcta,36703,2022,,68.5,88,94,85,100,,Bottom 25% of geographies
zcta,11946,2022,,1,88,90.5,59.3,81.4,72.2,Bottom 25% of geographies
zcta,37345,2022,,3.7,88,90.3,95.7,80,25.2,Bottom 25% of geographies
county,"Ward County, Texas",2022,Texas,6.3,88,89.2,83.9,58.7,87.3,Bottom 25% of geographies
county,"Clark County, Nevada",2022,Nevada,12,88,90.7,89.9,91,80,Bottom 25% of geographies
zcta,71743,2022,,21.2,88,92.3,79.4,,68.8,Bottom 25% of geographies
zcta,70715,2022,,35.5,88,88.9,86.5,,79.6,Bottom 25% of geographies
zcta,23502,2022,,50.1,88,88.4,87.5,98.5,79.7,Bottom 25% of geographies
county,"Elbert County, Georgia",2022,Georgia,27.6,88,88.5,91.8,81.7,62,Bottom 25% of geographies
zcta,27863,2022,,12.7,88,89.1,78.9,100,68.6,Bottom 25% of geographies
zcta,49013,2022,,3.4,88,86.9,82.5,56,86.6,Bottom 25% of geographies
zcta,92627,2022,,0.7,88,92.9,84.5,93.5,78.4,Bottom 25% of geographies
zcta,71660,2022,,19.6,88,88.5,86.2,,,Bottom 25% of geographies
zcta,77565,2022,,5.2,88,89.7,83,93.1,76.7,Bottom 25% of geographies
county,"Tishomingo County, Mississippi",2022,Mississippi,1.3,88,90.2,92.6,100,35.8,Bottom 25% of geographies
zcta,35016,2022,,0.5,92,92.2,92.8,96,78.5,26-50% of geographies
zcta,85378,2022,,6,92,93.9,90.9,72.7,90.4,26-50% of geographies
county,"Cabarrus County, North Carolina",2022,North Carolina,18.9,92,93.3,92.7,93.9,81.7,51-75% of geographies
zcta,06801,2022,,6.9,92,95.3,92,96.6,93.2,26-50% of geographies
zcta,98445,2022,,10.3,92,94.2,87.4,90.7,82.9,26-50% of geographies
zcta,10562,2022,,10.6,92,97.1,98.7,82,83,26-50% of geographies
county,"Fayette County, Georgia",2022,Georgia,24.9,92,94.6,90.2,87.4,75.5,51-75% of geographies
zcta,98531,2022,,0.8,92,93.6,92.5,79.6,83.4,26-50% of geographies
county,"Fayette County, West Virginia",2022,West Virginia,4.5,92,91.6,97.5,,91.3,51-75% of geographies
zcta,28146,2022,,7.1,92,92,93.6,96.8,84.8,26-50% of geographies
county,"Wichita County, Kansas",2022,Kansas,0.7,92,95,66.7,,77.2,51-75% of geographies
zcta,63088,2022,,6.8,92,93.4,85.6,96.5,70.5,26-50% of geographies
zcta,60517,2022,,11.1,92,92.4,89.4,96.6,84.9,26-50% of geographies
zcta,97230,2022,,9.1,92,93.2,90.4,91.3,84.7,26-50% of geographies
zcta,70529,2022,,22.5,92,94.5,90.7,,19.8,26-50% of geographies
zcta,35470,2022,,66.1,92,95.5,90.9,100,100,26-50% of geographies
zcta,92058,2022,,7.9,92,93.9,94.1,94.3,87.7,26-50% of geographies
zcta,23310,2022,,28.9,92,92.2,90.8,100,84.6,26-50% of geographies
zcta,53961,2022,,0.7,92,92.1,33.3,,,26-50% of geographies
zcta,85224,2022,,5.3,92,93.2,94.9,95.1,88.1,26-50% of geographies
zcta,19122,2022,,30,92,94.1,94.6,85.7,85.3,26-50% of geographies
zcta,28394,2022,,12.3,92,96,92.1,100,61.5,26-50% of geographies
zcta,10705,2022,,21.3,92,94.1,94.7,98.5,89.8,26-50% of geographies
zcta,71047,2022,,18.3,92,91.1,96.5,100,81.7,26-50% of geographies
county,"Fluvanna County, Virginia",2022,Virginia,13,92,93.8,86.6,40.5,82.7,51-75% of geographies
zcta,70458,2022,,16.3,92,92.5,90.1,89.1,84,26-50% of geographies
zcta,34639,2022,,4.3,92,93,89.3,100,86.4,26-50% of geographies
zcta,28115,2022,,8,92,93.2,82.3,98.2,86.9,26-50% of geographies
zcta,60429,2022,,84.3,92,92.1,91.4,100,94.3,26-50% of geographies
zcta,11542,2022,,5.6,92,94.6,94.3,88.9,81.1,26-50% of geographies
county,"Iberia Parish, Louisiana",2022,Louisiana,31.2,92,91.9,93.7,82.8,75.1,51-75% of geographies
zcta,85710,2022,,5.2,92,92.5,96.9,94.3,90.7,26-50% of geographies
zcta,35956,2022,,0.2,92,92,71.4,100,100,26-50% of geographies
zcta,98665,2022,,2.9,92,94.3,79.5,96.2,78.7,26-50% of geographies
county,"Penobscot County, Maine",2022,Maine,1,92,92.1,90.3,93.1,89.1,51-75% of geographies
zcta,53206,2022,,91.4,92,95.4,92,75,86.4,26-50% of geographies
zcta,69337,2022,,3,92,94.1,66.8,100,79.4,26-50% of geographies
zcta,72332,2022,,84.8,92,100,90.6,,,26-50% of geographies
zcta,60041,2022,,3.2,92,93.4,99.3,89.3,87.6,26-50% of geographies
zcta,35769,2022,,5.1,92,93.3,81.4,,78.2,26-50% of geographies
zcta,80030,2022,,2.1,92,94.1,97.5,92.9,91.1,26-50% of geographies
zcta,78681,2022,,5,92,93.8,84.5,92.9,84.5,26-50% of geographies
county,"Moody County, South Dakota",2022,South Dakota,0.8,92,96.3,74,90.7,58.5,51-75% of geographies
zcta,33431,2022,,14.1,92,92.1,96.4,98.5,86.8,26-50% of geographies
county,"Knox County, Tennessee",2022,Tennessee,8.2,92,93.1,89.4,91.4,70.1,51-75% of geographies
zcta,31569,2022,,24.2,92,91.6,93,100,100,26-50% of geographies
zcta,27878,2022,,60.6,92,97,88.5,,,26-50% of geographies
zcta,70570,2022,,56.6,92,93.6,92.6,95.7,63.2,26-50% of geographies
zcta,92220,2022,,7,92,94.9,92.9,94.4,89.5,26-50% of geographies
zcta,70363,2022,,22.2,92,92.7,95.3,98.9,70,26-50% of geographies
zcta,28164,2022,,3.1,92,92.7,85.7,86.7,87.3,26-50% of geographies
zcta,23508,2022,,35.3,92,94.9,89,91.4,77.2,26-50% of geographies
zcta,92591,2022,,3.9,92,94.4,93,97.1,87.2,26-50% of geographies
zcta,91761,2022,,4.8,92,92.8,95.4,94.6,90.6,26-50% of geographies
zcta,68873,2022,,0.7,92,92.5,47.8,,55.4,26-50% of geographies
zcta,80517,2022,,0.6,92,93.2,77,100,57.3,26-50% of geographies
county,"Morgan County, Kentucky",2022,Kentucky,4.1,92,92.5,64.3,100,47.2,51-75% of geographies
county,"East Feliciana Parish, Louisiana",2022,Louisiana,40.1,92,95,87.7,100,82.3,51-75% of geographies
zcta,39653,2022,,26.4,92,92.1,90.7,,100,26-50% of geographies
zcta,39840,2022,,69.8,92,92.3,92.6,100,79.7,26-50% of geographies
zcta,06851,2022,,16.6,92,94.5,91.8,79.9,86.3,26-50% of geographies
county,"Bottineau County, North Dakota",2022,North Dakota,0.5,92,92.4,83.9,100,75.2,51-75% of geographies
zcta,29302,2022,,16.1,92,93.6,92,68.8,78.3,26-50% of geographies
zcta,18702,2022,,12.1,92,95.4,91,73.3,84.2,26-50% of geographies
zcta,28168,2022,,4,92,93,97.7,100,70.9,26-50% of geographies
zcta,32034,2022,,4.8,92,92.6,86.8,100,86.9,26-50% of geographies
zcta,29137,2022,,39.4,92,92.2,91.1,100,95,26-50% of geographies
county,"Crawford County, Wisconsin",2022,Wisconsin,1.9,92,91.9,80.3,100,98.6,51-75% of geographies
zcta,98026,2022,,2.8,92,94.6,88.3,91.1,71.3,26-50% of geographies
zcta,61068,2022,,2.2,92,91.9,93.2,100,90.4,26-50% of geographies
zcta,64477,2022,,3.4,92,94.1,68.1,100,100,26-50% of geographies
zcta,57105,2022,,3.7,92,93.6,59.4,95.5,79.4,26-50% of geographies
zcta,19020,2022,,8.2,92,95,90.8,93.1,73.6,26-50% of geographies
zcta,90631,2022,,2,92,94.1,96.1,95,89.6,26-50% of geographies
county,"Franklin County, Ohio",2022,Ohio,23,92,94.1,89.3,94.5,75.8,51-75% of geographies
zcta,55421,2022,,23.2,92,94.6,93.3,95.5,74.4,26-50% of geographies
zcta,03048,2022,,5,92,93.7,63.4,100,94,26-50% of geographies
zcta,73104,2022,,25.7,92,98.4,78.5,87.9,94.7,26-50% of geographies
zcta,30004,2022,,10.9,92,95,92,94.1,69.2,26-50% of geographies
zcta,23960,2022,,29.9,92,88.5,97.8,,,26-50% of geographies
zcta,55121,2022,,21.3,92,97,83.2,87.1,82.7,26-50% of geographies
zcta,64136,2022,,39,92,95.5,86,100,100,26-50% of geographies
zcta,72326,2022,,25.8,92,91.6,93.7,,100,26-50% of geographies
zcta,36584,2022,,33.8,92,94.7,93.2,0,,26-50% of geographies
zcta,27892,2022,,38.1,92,93.3,91.7,69.4,86.4,26-50% of geographies
zcta,93306,2022,,3.7,92,91.1,91.9,98,90,26-50% of geographies
county,"Bath County, Kentucky",2022,Kentucky,1.7,92,91.9,85.7,76.5,98.2,51-75% of geographies
zcta,27041,2022,,3.1,92,93,97.9,100,74.9,26-50% of geographies
zcta,24210,2022,,2.6,92,92.2,94.1,100,90.9,26-50% of geographies
zcta,70122,2022,,71.6,92,91.9,92.6,98,75.5,26-50% of geographies
zcta,48824,2022,,7.6,92,94.1,81.3,84.9,91.7,26-50% of geographies
zcta,36748,2022,,35.7,92,92.4,91.9,66.7,100,26-50% of geographies
zcta,36446,2022,,40.8,92,98.9,82.1,,,26-50% of geographies
county,"Ouachita Parish, Louisiana",2022,Louisiana,37.3,92,94.2,90.5,82.2,68.2,51-75% of geographies
zcta,37804,2022,,2.8,92,92.5,97.2,83.9,75.5,26-50% of geographies
county,"Washington County, Virginia",2022,Virginia,1.7,92,92.1,97,100,94.6,51-75% of geographies
zcta,35634,2022,,4,92,91.9,93.7,0,100,26-50% of geographies
county,"Somerset County, Maine",2022,Maine,0.5,92,92.3,81.4,99.1,85.3,51-75% of geographies
zcta,64145,2022,,9.1,92,94.5,85.8,100,85.4,26-50% of geographies
county,"Benton County, Washington",2022,Washington,1.8,92,93.9,93.8,92.6,82.8,51-75% of geographies
zcta,29555,2022,,42.2,92,93.6,90.4,100,,26-50% of geographies
county,"Frederick County, Virginia",2022,Virginia,4.2,92,93.1,96.3,91.4,68.9,51-75% of geographies
zcta,49102,2022,,2.2,92,95,62.5,,91.9,26-50% of geographies
zcta,04412,2022,,0.5,92,92.1,57.7,100,93.7,26-50% of geographies
county,"Otero County, Colorado",2022,Colorado,1.3,92,94.2,69.3,100,90.7,51-75% of geographies
county,"Whitley County, Kentucky",2022,Kentucky,0.9,92,92.3,92.5,94.6,74.2,51-75% of geographies
zcta,84604,2022,,0.9,92,93.6,87.1,82.2,77.6,26-50% of geographies
zcta,33540,2022,,4.3,92,91.3,95.6,100,92.8,26-50% of geographies
zcta,02149,2022,,13.7,92,93.5,92.4,95.7,88.4,26-50% of geographies
county,"Charles County, Maryland",2022,Maryland,49.1,96,96.3,96,95.5,91,Top 25% of geographies
county,"Capitol Planning Region, Connecticut",2022,Connecticut,12.7,96,96.8,94.8,95.9,92.8,Top 25% of geographies
zcta,12545,2022,,3.1,96,96.3,89.3,100,100,51-75% of geographies
zcta,22939,2022,,4.3,96,97.4,69.6,,86.7,51-75% of geographies
county,"Santa Clara County, California",2022,California,2.4,96,96.7,95.3,97.6,91.4,Top 25% of geographies
zcta,14905,2022,,4.8,96,96.4,93.2,100,100,51-75% of geographies
zcta,60546,2022,,4.6,96,95.8,92,95.1,96.4,51-75% of geographies
zcta,49306,2022,,1,96,95.9,98.1,100,91.8,51-75% of geographies
zcta,94607,2022,,29,96,94.5,97.2,97.1,92.3,51-75% of geographies
county,"Clinton County, Michigan",2022,Michigan,1.7,96,96.1,94.5,100,86.6,Top 25% of geographies
zcta,70810,2022,,29.5,96,98.1,91.4,100,91.9,51-75% of geographies
zcta,53916,2022,,2.1,96,96.5,84,100,92.3,51-75% of geographies
zcta,15144,2022,,0.1,96,96.7,80,100,74.2,51-75% of geographies
county,"York County, Virginia",2022,Virginia,13.1,96,96.9,95.4,91.1,94.2,Top 25% of geographies
zcta,20685,2022,,14.7,96,95.2,98.6,,96.9,51-75% of geographies
zcta,49759,2022,,0.6,96,96.4,66.7,,97.6,51-75% of geographies
zcta,33558,2022,,4.6,96,95.9,94.8,94.1,95.3,51-75% of geographies
zcta,47838,2022,,16.9,96,96.9,46.2,100,70.2,51-75% of geographies
county,"Pope County, Illinois",2022,Illinois,3.3,96,97.4,92,100,43,Top 25% of geographies
county,"Allegany County, Maryland",2022,Maryland,7.3,96,96.2,95.5,86.2,81.7,Top 25% of geographies
zcta,46147,2022,,0.9,96,96.5,22.7,100,,51-75% of geographies
zcta,93720,2022,,2.8,96,96.3,88.9,97.4,95.4,51-75% of geographies
zcta,94561,2022,,8.6,96,96.2,97,97.8,94.8,51-75% of geographies
zcta,10552,2022,,40.2,96,97.7,96.5,94.5,94.4,51-75% of geographies
zcta,48080,2022,,10.1,96,95.8,97.2,100,95.2,51-75% of geographies
zcta,21629,2022,,14.9,96,96.5,97.7,66.7,58.7,51-75% of geographies
county,"Lake County, South Dakota",2022,South Dakota,0.4,96,96.5,34.1,100,92.7,Top 25% of geographies
zcta,23943,2022,,11.3,96,96.5,93.3,100,100,51-75% of geographies
zcta,13210,2022,,20.8,96,95.8,96.5,92.8,95.9,51-75% of geographies
zcta,49508,2022,,27,96,96,97,96,92.5,51-75% of geographies
zcta,24148,2022,,16.6,96,96.5,97.8,85.2,84.5,51-75% of geographies
zcta,15427,2022,,5.7,96,95.9,92.3,,100,51-75% of geographies
county,"Kendall County, Illinois",2022,Illinois,8,96,96.7,95,96.6,91.2,Top 25% of geographies
zcta,12533,2022,,4.2,96,96.7,94.3,91.8,96.7,51-75% of geographies
zcta,39201,2022,,76.2,96,92.4,97.3,,,51-75% of geographies
zcta,48075,2022,,67.6,96,92.3,97.2,100,95.4,51-75% of geographies
zcta,38120,2022,,8.1,96,97.6,94.1,77,100,51-75% of geographies
zcta,07456,2022,,1.8,96,95.8,93.1,100,81.9,51-75% of geographies
zcta,13783,2022,,4.2,96,98.3,45.5,100,100,51-75% of geographies
zcta,85253,2022,,0.3,96,97.2,93.3,99,93.9,51-75% of geographies
zcta,07461,2022,,1.2,96,96.2,93.5,92.4,94.2,51-75% of geographies
zcta,70040,2022,,50.5,96,94.6,99.4,,65,51-75% of geographies
zcta,08077,2022,,4.7,96,96.5,95.6,97.2,89.1,51-75% of geographies
zcta,07422,2022,,1.4,96,95.8,98.6,100,98.7,51-75% of geographies
